Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,8,3,male,1.070,1.576,0.555,1.344,1.898,1.898,0.878,1.175,0.978,1.775
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,1,female,1.145,1.722,0.589,1.466,2.055,2.054,0.923,1.256,1.040,1.793
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,1,male,1.119,1.614,0.542,1.375,1.918,1.916,0.877,1.182,0.980,1.713
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,2,female,1.154,1.765,0.587,1.542,2.129,2.128,0.971,1.286,1.109,1.844
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,2,male,1.104,1.531,0.531,1.374,1.905,1.904,0.891,1.155,0.983,1.724
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,3,female,1.136,1.657,0.545,1.444,1.989,1.988,0.867,1.201,0.970,1.749
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,9,3,male,1.009,1.503,0.502,1.313,1.814,1.813,0.836,1.112,0.938,1.797
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,1,female,1.177,1.759,0.601,1.504,2.106,2.105,0.944,1.287,1.064,1.788
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,1,male,1.048,1.499,0.498,1.310,1.809,1.808,0.833,1.092,0.942,1.724
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,2,female,1.156,1.639,0.553,1.426,1.979,1.977,0.894,1.189,1.013,1.710
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,2,male,1.063,1.555,0.559,1.340,1.898,1.898,0.888,1.176,0.969,1.785
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,3,female,1.166,1.785,0.622,1.492,2.114,2.113,0.967,1.301,1.083,1.812
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,3,male,1.051,1.519,0.506,1.358,1.864,1.862,0.878,1.154,0.976,1.772
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,1,female,1.079,1.497,0.547,1.239,1.785,1.783,0.852,1.127,0.950,1.652
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,1,male,1.015,1.460,0.513,1.248,1.761,1.759,0.814,1.070,0.928,1.734
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,2,female,1.104,1.554,0.576,1.295,1.870,1.869,0.844,1.126,0.960,1.693
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,2,male,1.017,1.434,0.508,1.234,1.743,1.742,0.784,1.066,0.853,1.713
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,3,female,1.117,1.621,0.557,1.341,1.898,1.897,0.851,1.167,0.959,1.699
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,3,male,1.021,1.429,0.508,1.233,1.741,1.739,0.790,1.066,0.871,1.702
